logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
,1,"A white greyhound dog wearing a muzzle runs around a track. Hence, the dog is racing other dogs.", A white greyhound dog wearing a muzzle runs around a track.  , The white greyhound dog is racing other dogs.,"IsWhiteGreyhoundDog(a),  IsWearingMuzzle(a),  RunsAroundTrack(a)","IsWhiteGreyhoundDog(d),  IsRacingOtherDogs(d)",[],[],[],IsWhiteGreyhoundDog(a) and IsWearingMuzzle(a) and RunsAroundTrack(a),IsWhiteGreyhoundDog(d) and IsRacingOtherDogs(d),(IsWhiteGreyhoundDog(a) and IsWearingMuzzle(a) and RunsAroundTrack(a)) -> (IsWhiteGreyhoundDog(d) and IsRacingOtherDogs(d)),(exists a (IsWhiteGreyhoundDog(a) and IsWearingMuzzle(a) and RunsAroundTrack(a))) -> (exists d (IsWhiteGreyhoundDog(d) and IsRacingOtherDogs(d)))
,1,The pitcher is pitching the ball in a game of baseball. It follows that the pitcher throws the ball.," ""The pitcher is pitching the ball in a game of baseball.""  "," ""The pitcher throws the ball.""","IsPitching(a, b),  IsInGame(c)","Throws(a, b)",[],"[(' The pitcher', ' The pitcher'), (' the ball', ' the ball')]",[],"IsPitching(a, b) and IsInGame(c)","Throws(a, b)","(IsPitching(a, b) and IsInGame(c)) -> (Throws(a, b))","(exists a (exists c (exists b (IsPitching(a, b) and IsInGame(c))))) -> (exists a (exists b (Throws(a, b))))"
,1,"Girl in a red coat, blue head wrap and jeans is making a snow angel. As a consequence, a girl outside plays in the snow."," A girl in a red coat, blue head wrap, and jeans is making a snow angel.", A girl outside plays in the snow.,"IsInRedCoat(a),  IsInBlueHeadWrap(a),  IsInJeans(a),  IsMakingSnowAngel(a)","IsOutside(a),  PlaysInSnow(a)",[],"[(' A girl', ' A girl')]","[(' snow angel', ' snow')]",IsInRedCoat(a) and IsInBlueHeadWrap(a) and IsInJeans(a) and IsMakingSnowAngel(a),IsOutside(a) and PlaysInSnow(a),(IsInRedCoat(a) and IsInBlueHeadWrap(a) and IsInJeans(a) and IsMakingSnowAngel(a)) -> (IsOutside(a) and PlaysInSnow(a)),(exists a (IsInRedCoat(a) and IsInBlueHeadWrap(a) and IsInJeans(a) and IsMakingSnowAngel(a))) -> (exists a (IsOutside(a) and PlaysInSnow(a)))
,1,"Men in an office with computers and a projector screen. Consequently, there are computers and a projector screen in the room."," ""There are men in an office with computers and a projector screen.""  "," ""There are computers and a projector screen in the room.""","IsInOffice(c),  HasComputers(d),  HasProjectorScreen(d)","IsInRoom(a),  IsInRoom(b)",[],"[(' computers', ' Computers'), (' projector screen', ' projector screen')]",[],IsInOffice(c) and HasComputers(d) and HasProjectorScreen(d),IsInRoom(a) and IsInRoom(b),(IsInOffice(c) and HasComputers(d) and HasProjectorScreen(d)) -> (IsInRoom(a) and IsInRoom(b)),(exists c (exists d (IsInOffice(c) and HasComputers(d) and HasProjectorScreen(d)))) -> (exists a (exists b (IsInRoom(a) and IsInRoom(b))))
,1,"A small child in a red jacket is sitting on a man's shoulders and holding his head. Therefore, the child's hands are on the man's head.", A small child in a red jacket is sitting on a man's shoulders and holding the man's head., The child's hands are on the man's head.,"IsSmall(b),  IsInRedJacket(b),  IsOnShoulders(b, d),  IsHoldingHead(b, a)","IsOnHead(e, a)",[],"[("" the man's head"", "" the man's head"")]","[(' A small child', "" The child's hands"")]","IsSmall(b) and IsInRedJacket(b) and IsOnShoulders(b, d) and IsHoldingHead(b, a)","IsOnHead(e, a)","(exists b (IsSmall(b) and IsInRedJacket(b) and IsOnShoulders(b, d) and IsHoldingHead(b, a))) -> (forall e (IsOnHead(e, a)))","(exists a (exists d (exists b (IsSmall(b) and IsInRedJacket(b) and IsOnShoulders(b, d) and IsHoldingHead(b, a))))) -> (exists a (exists e (IsOnHead(e, a))))"
,1,Three girls are standing and talking to each other. It follows that three girls are talking.," ""Three girls are standing and talking to each other.""  "," ""Three girls are talking.""","AreStanding(a),  AreTalkingToEachOther(a)",AreTalking(a),[],"[(' Three girls', ' Three girls')]",[],AreStanding(a) and AreTalkingToEachOther(a),AreTalking(a),(AreStanding(a) and AreTalkingToEachOther(a)) -> (AreTalking(a)),(exists a (AreStanding(a) and AreTalkingToEachOther(a))) -> (exists a (AreTalking(a)))
,1,"a man with a cap and not wearing shirt is laying a wooden bench. Consequently, a man relaxes on a bench."," ""A man with a cap and not wearing a shirt is laying on a wooden bench.""  "," ""A man relaxes on a bench.""","IsWithCap(b),  IsNotWearingShirt(b),  IsLayingOnWoodenBench(b)",RelaxesOnBench(c),[],"[(' a bench', ' a wooden bench')]","[(' A man with a cap', ' A man')]",IsWithCap(b) and IsNotWearingShirt(b) and IsLayingOnWoodenBench(b),RelaxesOnBench(c),(exists b (IsWithCap(b) and IsNotWearingShirt(b) and IsLayingOnWoodenBench(b))) -> (forall c (RelaxesOnBench(c))),(exists b (IsWithCap(b) and IsNotWearingShirt(b) and IsLayingOnWoodenBench(b))) -> (exists c (RelaxesOnBench(c)))
,1,"A man in a red shirt is being filmed by another man on a sports field with a huge audience of people watching and cheering. Therefore, the man is being filmed by another man.", A man in a red shirt is being filmed on a sports field with a huge audience watching and cheering.  , The man is important to the audience.,"IsInRedShirt(a),  IsBeingFilmed(a),  IsOnSportsField(a),  IsWatching(c),  IsCheering(c)","IsImportantTo(d, e)",[],[],"[(' A man in a red shirt', ' The man'), (' huge audience', ' the audience')]",IsInRedShirt(a) and IsBeingFilmed(a) and IsOnSportsField(a) and IsWatching(c) and IsCheering(c),"IsImportantTo(d, e)","(exists c (exists a (IsInRedShirt(a) and IsBeingFilmed(a) and IsOnSportsField(a) and IsWatching(c) and IsCheering(c)))) -> (forall e (forall d (IsImportantTo(d, e))))","(exists a (exists c (IsInRedShirt(a) and IsBeingFilmed(a) and IsOnSportsField(a) and IsWatching(c) and IsCheering(c)))) -> (exists e (exists d (IsImportantTo(d, e))))"
,1,"A man in a suit cheering in a library in front of children. Thus, a guy is cheering near some children."," ""A man in a suit is cheering in a library in front of children.""  "," ""A guy is cheering near some children.""","IsInSuit(a),  IsCheering(a),  IsInLibrary(a),  IsInFrontOfChildren(a)","IsCheering(d),  IsNearChildren(d)",[],[],"[(' children', ' some children')]",IsInSuit(a) and IsCheering(a) and IsInLibrary(a) and IsInFrontOfChildren(a),IsCheering(d) and IsNearChildren(d),(IsInSuit(a) and IsCheering(a) and IsInLibrary(a) and IsInFrontOfChildren(a)) -> (IsCheering(d) and IsNearChildren(d)),(exists a (IsInSuit(a) and IsCheering(a) and IsInLibrary(a) and IsInFrontOfChildren(a))) -> (exists d (IsCheering(d) and IsNearChildren(d)))
,1,A man in suit waiting for the green light. This implies that a man waits at a red light., A man in suit is waiting for the green light.  , A man waits at a red light.,"IsInSuit(a),  IsWaitingForGreenLight(a)",IsAtRedLight(c),[],[],"[(' A man in suit', ' A man')]",IsInSuit(a) and IsWaitingForGreenLight(a),IsAtRedLight(c),(exists a (IsInSuit(a) and IsWaitingForGreenLight(a))) -> (forall c (IsAtRedLight(c))),(exists a (IsInSuit(a) and IsWaitingForGreenLight(a))) -> (exists c (IsAtRedLight(c)))
,1,"A man smokes while leaning against a pillar, which has a ""missing person"" flier posted on it. Thus, a guy smoking against a wall with a flier on it."," ""A man smokes while leaning against a pillar with a 'missing person' flier posted on it."""," ""A guy is smoking against a wall with a flier on it.""","Smokes(a),  LeansAgainst(a, b),  HasFlierPostedOn(b, c)","Smokes(d),  IsAgainst(d, e),  HasFlierOn(e, f)",[],[],"[("" 'missing person' flier"", ' flier')]","Smokes(a) and LeansAgainst(a, b) and HasFlierPostedOn(b, c)","Smokes(d) and IsAgainst(d, e) and HasFlierOn(e, f)","(exists c (Smokes(a) and LeansAgainst(a, b) and HasFlierPostedOn(b, c))) -> (forall f (Smokes(d) and IsAgainst(d, e) and HasFlierOn(e, f)))","(exists a (exists c (exists b (Smokes(a) and LeansAgainst(a, b) and HasFlierPostedOn(b, c))))) -> (exists e (exists f (exists d (Smokes(d) and IsAgainst(d, e) and HasFlierOn(e, f)))))"
,1,"A woman is standing at a podium. Thus, a person is at a podium.", A woman is at a podium.  , A person is at a podium.,"IsAt(b, a)","IsAt(c, a)",[],"[(' podium', ' podium')]","[(' A woman', ' A person')]","IsAt(b, a)","IsAt(c, a)","(exists b (IsAt(b, a))) -> (forall c (IsAt(c, a)))","(exists a (exists b (IsAt(b, a)))) -> (exists c (exists a (IsAt(c, a))))"
,1,Four boys are about to be hit by an approaching wave. It follows that a wave is about hit some boys.," ""A wave is about to hit four boys.""  "," ""A wave is about to hit some boys.""","IsAboutToHit(a, b)","IsAboutToHit(a, c)",[],"[(' A wave', ' A wave')]","[(' four boys', ' some boys')]","IsAboutToHit(a, b)","IsAboutToHit(a, c)","(exists b (IsAboutToHit(a, b))) -> (forall c (IsAboutToHit(a, c)))","(exists a (exists b (IsAboutToHit(a, b)))) -> (exists a (exists c (IsAboutToHit(a, c))))"
,1,"people are sitting on a bench in front of buildings. Thus, some people are seated on a bench outside.", People are sitting on a bench in front of buildings.  , Some people are seated on a bench outside.,"IsSittingOn(a, b),  IsInFrontOf(b, c)","IsSeatedOn(a, b),  IsOutside(a)",[],"[(' Some people', ' People'), (' bench', ' bench')]",[],"IsSittingOn(a, b) and IsInFrontOf(b, c)","IsSeatedOn(a, b) and IsOutside(a)","(IsSittingOn(a, b) and IsInFrontOf(b, c)) -> (IsSeatedOn(a, b) and IsOutside(a))","(exists a (exists c (exists b (IsSittingOn(a, b) and IsInFrontOf(b, c))))) -> (exists a (exists b (IsSeatedOn(a, b) and IsOutside(a))))"
,1,The skateboarder is jumping his board in the air while another skateboarder watches. This implies that a skateboarder is jumping., A skateboarder is jumping his board in the air.  , A skateboarder is jumping.,"IsJumping(a),  IsBoardOf(b, a),  IsInAir(b)",IsJumping(a),[],"[(' A skateboarder', ' A skateboarder')]",[],"IsJumping(a) and IsBoardOf(b, a) and IsInAir(b)",IsJumping(a),"(IsJumping(a) and IsBoardOf(b, a) and IsInAir(b)) -> (IsJumping(a))","(exists a (exists b (IsJumping(a) and IsBoardOf(b, a) and IsInAir(b)))) -> (exists a (IsJumping(a)))"
,1,"A man wearing a black hat and coat makes a face with a crowd behind him. As a consequence, a guy is standing near a crowd of people.", A man is wearing a black hat and coat and makes a face with a crowd behind him.  , A guy is standing near a crowd of people.,"IsWearing(a, b),  IsWearing(a, c),  MakesFace(a, d),  IsBehind(e)","IsStandingNear(f, g)",[],[],"[(' A man', ' a crowd of people'), (' crowd', ' a crowd of people')]","IsWearing(a, b) and IsWearing(a, c) and MakesFace(a, d) and IsBehind(e)","IsStandingNear(f, g)","(exists e (exists a (IsWearing(a, b) and IsWearing(a, c) and MakesFace(a, d) and IsBehind(e)))) -> (forall g (IsStandingNear(f, g)))","(exists a (exists d (exists b (exists c (exists e (IsWearing(a, b) and IsWearing(a, c) and MakesFace(a, d) and IsBehind(e))))))) -> (exists f (exists g (IsStandingNear(f, g))))"
,1,"A group of soldiers march in a parade. Thus, a group of people march in a parade.", A group of soldiers march in a parade.  , A group of people march in a parade.,"MarchesIn(b, a)","MarchesIn(c, a)",[],"[(' a parade', ' parade')]","[(' A group of soldiers', ' A group of people'), (' a parade', ' A group of people')]","MarchesIn(b, a)","MarchesIn(c, a)","(exists a (exists b (MarchesIn(b, a)))) -> (forall c (MarchesIn(c, a)))","(exists a (exists b (MarchesIn(b, a)))) -> (exists c (exists a (MarchesIn(c, a))))"
,1,The 3 dogs are cruising down the street. This implies that three dogs together.," ""The 3 dogs are cruising down the street.""  "," ""Three dogs are together.""","IsCruising(a),  IsDownTheStreet(a)",AreTogether(a),[],"[(' The 3 dogs', ' Three dogs')]",[],IsCruising(a) and IsDownTheStreet(a),AreTogether(a),(IsCruising(a) and IsDownTheStreet(a)) -> (AreTogether(a)),(exists a (IsCruising(a) and IsDownTheStreet(a))) -> (exists a (AreTogether(a)))
,1,"The gentleman is speaking while the others are listening. As a consequence, the man is being given respect."," ""The gentleman is speaking while the others are listening."""," ""The man is being given respect.""","IsSpeaking(a),  AreListening(b)",IsGivenRespect(a),[],"[(' The man', ' The gentleman')]",[],IsSpeaking(a) and AreListening(b),IsGivenRespect(a),(IsSpeaking(a) and AreListening(b)) -> (IsGivenRespect(a)),(exists a (exists b (IsSpeaking(a) and AreListening(b)))) -> (exists a (IsGivenRespect(a)))
,1,"One child in black is walking down a hill covered in white snow while 2 children are on their knees. Thus, there are three children in this picture, and they are all outside."," There are three children in the picture, and they are all outside.", Three children are outside.,"IsInPicture(a),  IsOutside(a)",IsOutside(a),[],"[(' Three children', ' Three children')]",[],IsInPicture(a) and IsOutside(a),IsOutside(a),(IsInPicture(a) and IsOutside(a)) -> (IsOutside(a)),(exists a (IsInPicture(a) and IsOutside(a))) -> (exists a (IsOutside(a)))
,1,A group of people are sight seeing and taking pictures. It follows that there are a group of people.," ""A group of people are sightseeing and taking pictures."""," ""There is a group of people.""","AreSightseeing(a),  AreTakingPictures(a)",IsGroupOfPeople(a),[],"[(' A group of people', ' A group of people')]",[],AreSightseeing(a) and AreTakingPictures(a),IsGroupOfPeople(a),(AreSightseeing(a) and AreTakingPictures(a)) -> (IsGroupOfPeople(a)),(exists a (AreSightseeing(a) and AreTakingPictures(a))) -> (exists a (IsGroupOfPeople(a)))
,1,"Army men grilling a lot of meat while his troop looks on. Hence, some of the people here have been in the armed forces."," ""Army men are grilling a lot of meat while the troop looks on."""," ""Some of the people here have been in the armed forces.""","IsGrilling(a, b),  LooksOn(c)","HasBeenIn(d, e)",[],[],"[(' Army men', ' armed forces'), (' the troop', ' armed forces')]","IsGrilling(a, b) and LooksOn(c)","HasBeenIn(d, e)","(exists c (exists a (IsGrilling(a, b) and LooksOn(c)))) -> (forall e (HasBeenIn(d, e)))","(exists a (exists c (exists b (IsGrilling(a, b) and LooksOn(c))))) -> (exists e (exists d (HasBeenIn(d, e))))"
,1,"The basketball player in red is challenging the player in white for the ball. Consequently, people are playing basketball.", The basketball player in red is challenging the player in white for the ball.  , People are playing basketball.,"IsInRed(a),  IsInWhite(b),  IsChallenging(a, b),  IsForTheBall(c)",IsPlayingBasketball(d),[],[],"[(' The basketball player in red', ' People'), (' the player in white', ' People')]","IsInRed(a) and IsInWhite(b) and IsChallenging(a, b) and IsForTheBall(c)",IsPlayingBasketball(d),"(exists b (exists a (IsInRed(a) and IsInWhite(b) and IsChallenging(a, b) and IsForTheBall(c)))) -> (forall d (IsPlayingBasketball(d)))","(exists a (exists c (exists b (IsInRed(a) and IsInWhite(b) and IsChallenging(a, b) and IsForTheBall(c))))) -> (exists d (IsPlayingBasketball(d)))"
,1,"A older man with gray hair wearing a gray suit next to a green and yellow taxi. Thus, a older man with gray hair wearing a gray suit."," ""An older man with gray hair is wearing a gray suit next to a green and yellow taxi.""  "," ""An older man with gray hair is wearing a gray suit""","IsOlder(a),  HasGrayHair(a),  IsWearingGraySuit(a),  IsNextToTaxi(a)","IsOlder(a),  HasGrayHair(a),  IsWearingGraySuit(a)",[],"[(' Older man with gray hair', ' Older man'), (' gray suit', ' gray suit')]","[(' gray hair', ' Older man with gray hair')]",IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a) and IsNextToTaxi(a),IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a),(IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a) and IsNextToTaxi(a)) -> (IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a)),(exists a (IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a) and IsNextToTaxi(a))) -> (exists a (IsOlder(a) and HasGrayHair(a) and IsWearingGraySuit(a)))
,1,"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic. Hence, a woman is talking while a man is reaching for something.", A woman in a beige blazer is discussing an important topic while a man is reaching for something.  , A woman talks while a man reaches for something.,"IsInBeigeBlazer(c),  IsDiscussing(c, d),  IsReachingFor(a, b)","IsTalking(e),  IsReachingFor(a, b)",[],"[(' a man', ' a man'), (' something', ' something')]","[(' A woman in a beige blazer', ' A woman'), (' an important topic', ' something'), (' a man', ' something')]","IsInBeigeBlazer(c) and IsDiscussing(c, d) and IsReachingFor(a, b)","IsTalking(e) and IsReachingFor(a, b)","(exists a (exists d (exists c (IsInBeigeBlazer(c) and IsDiscussing(c, d) and IsReachingFor(a, b))))) -> (exists a (forall b (forall e (IsTalking(e) and IsReachingFor(a, b)))))","(exists c (exists b (exists d (exists a (IsInBeigeBlazer(c) and IsDiscussing(c, d) and IsReachingFor(a, b)))))) -> (exists a (exists e (exists b (IsTalking(e) and IsReachingFor(a, b)))))"
,1,A crowd watching a skateboarder. This implies that a person is skateboarding.," ""A person is skateboarding.""  "," ""A crowd is watching a person skateboarding.""",IsSkateboarding(a),"IsWatching(b, a),  IsSkateboarding(a)",[],"[(' A person', ' a person')]","[(' A person', ' A crowd')]",IsSkateboarding(a),"IsWatching(b, a) and IsSkateboarding(a)","(exists a (IsSkateboarding(a))) -> (forall b (IsWatching(b, a) and IsSkateboarding(a)))","(exists a (IsSkateboarding(a))) -> (exists a (exists b (IsWatching(b, a) and IsSkateboarding(a))))"
,1,"A male guitar player is vigorously singing a not to a song in a poorly lit room. As a consequence, a man is singing indoors."," ""A male guitar player is vigorously singing to a song in a poorly lit room."""," ""A man is singing indoors.""","IsMale(a),  PlaysGuitar(a),  IsSingingTo(a, b),  IsPoorlyLit(c)","IsSinging(d),  IsIndoors(d, e)",[],[],"[(' Male guitar player', ' A man'), (' room', ' indoors')]","IsMale(a) and PlaysGuitar(a) and IsSingingTo(a, b) and IsPoorlyLit(c)","IsSinging(d) and IsIndoors(d, e)","(exists c (exists a (IsMale(a) and PlaysGuitar(a) and IsSingingTo(a, b) and IsPoorlyLit(c)))) -> (forall e (forall d (IsSinging(d) and IsIndoors(d, e))))","(exists a (exists c (exists b (IsMale(a) and PlaysGuitar(a) and IsSingingTo(a, b) and IsPoorlyLit(c))))) -> (exists e (exists d (IsSinging(d) and IsIndoors(d, e))))"
,1,"The sun breaks through the trees as a child rides a swing. Thus, a child rides a swing in the daytime."," ""The sun breaks through the trees as a child rides a swing.""  "," ""A child rides a swing in the daytime.""","BreaksThrough(c, d),  Rides(a, b)","Rides(a, b),  OccursInDaytime(a)",[],"[(' a child', ' A child'), (' a swing', ' a swing')]",[],"BreaksThrough(c, d) and Rides(a, b)","Rides(a, b) and OccursInDaytime(a)","(BreaksThrough(c, d) and Rides(a, b)) -> (Rides(a, b) and OccursInDaytime(a))","(exists c (exists b (exists d (exists a (BreaksThrough(c, d) and Rides(a, b)))))) -> (exists a (exists b (Rides(a, b) and OccursInDaytime(a))))"
